run,m,k,d,n,b,lowest_real,highest_fake,distinguishable,distinguishability_ratio,euclidean_length_betas,abs_deviation,squared_deviation,max_normed_deviation,epsilon_droot_m,epsilon_droot_rootd,epsilon_droot_halfd,epsilon_dlinear_m,epsilon_dlinear_rootd,epsilon_dlinear_halfd
12,5,10,15,100,0.1,0.0914907951522265,0.010171190940290835,1,8.995091694700838,0.23613158710114862,0.10051414265188671,7.725052702517648e-4,0.011124489521616862,0.938746262796523,0.9479365881230637,0.7926502250801579,5.811852383372735,6.72636691892756,0.45953126878928624
13,5,100,105,10,0.1,-0.06181339824724246,-2.394077275909748,0,0.025819299514362334,7.393142916553109,57.270160055222,54.68662884111887,2.394077275909748,0.9857032145212486,0.9829192916579456,0.9726124438177081,23.149277911724205,17.201427710581324,5.686834381236101
14,5,100,105,100,0.1,0.040882488549337424,-0.08354808878826275,0,0.4893288301656614,0.39582210663138406,2.76621903632859,0.12589148706942643,0.08354808878826275,0.9851716346638221,0.9841371128141997,0.9729002605667149,21.87452826912916,19.589724504695283,5.866281082692016
15,5,1000,1005,10,0.1,-0.18241121371020183,-4.112925916559589,0,0.044350717083371766,27.514085223339535,620.8809573766199,757.2627166834709,4.112925916559589,0.9979025372720385,0.9974736753198458,0.9958781840575044,121.82419848742748,79.08901507399155,15.827629410613012
16,5,1000,1005,100,0.1,-0.01890003586778623,-0.5255187255844014,0,0.03596453360775776,4.423304133586403,108.60230491538545,19.595357861149502,0.5255187255844014,0.9977314318991014,0.9973203678688906,0.9960890702822222,102.53886471811262,67.76852843411174,19.580857516992893
17,10,1,11,10,0.1,0.02011871893608239,0.19908185388227745,0,0.10105752254034735,0.5097954636411511,0.9733238124382966,0.15085622888653158,0.2318669490113596,0.7610231963101792,0.8938134714522041,0.871963954036848,0.545468309532533,3.1996946950328504,2.4371178919987266
18,10,1,11,100,0.1,0.07759218594952763,0.004815748197807351,1,16.112176709084576,0.3003818065275826,0.06674078302460061,7.601761696223549e-4,0.022407814050472374,0.8842164257898447,0.9021036714130857,0.9002238948164257,2.8414305623614053,3.541715228268117,3.461374458179177
19,10,10,20,10,0.1,-7.101841052337866e-4,-0.3964801062265197,0,0.0017912225457991566,0.72060512667747,2.445062335058998,0.45689589599935765,0.3964801062265197,0.9063272926537838,0.9275923184966636,0.9063272926537838,2.7972492216856706,4.448082835321509,2.7972492216856706
20,10,10,20,100,0.1,0.07914110622753158,0.01316655803403013,1,6.010766520983268,0.30307534462417424,0.20195164574480207,0.0028734179262043017,0.020858893772468426,0.9350666665261342,0.9409276278996864,0.9350666665261342,5.222536747465867,5.91771994877709,5.222536747465867
21,10,100,110,10,0.1,-0.014195022901604858,0.5058643980456593,0,0.02806092493649576,1.2130028389471366,9.798171334359244,1.4613017251126186,0.5058643980456593,0.9838148443622833,0.9828538521746358,0.9750596152195893,18.275257815107285,16.41256819154719,6.836303089668445
22,10,100,110,100,0.1,0.020831808537437203,-0.1647395626551348,0,0.1264529794888823,0.6361610555261088,4.963272432726491,0.3386915046528712,0.1647395626551348,0.9834974140607801,0.9833355678296982,0.976480223650297,17.637910885607777,17.321479332893507,8.023658094799066
23,10,1000,1010,10,0.1,0.10170132939440106,-14.391369923617795,0,0.0070668275455485425,90.64451513931148,2039.9188297720193,8216.896652341477,14.391369923617795,0.9977322843184239,0.9974938417833085,0.9958729641721418,101.97338610854428,80.10262963699896,15.4989814717335
24,10,1000,1010,100,0.1,-0.2123961370493915,7.711931841273099,0,0.027541236284361247,46.616855017622115,1033.057801921122,2172.736966469049,7.711931841273099,0.9979386783740514,0.9975099539557122,0.9959054301148974,125.6653027983768,81.42014559319924,16.017794564966618
25,50,1,51,10,0.1,-4.000638196394982e-4,0.07100204618137011,0,0.005634539300706365,2.92152876522551,14.508047510334608,8.188366815858043,1.6837332192670809,0.8779039874599334,0.9639595499764912,0.9536052214669367,0.06658375413258985,7.844576442774391,4.522408780107817
26,50,1,51,100,0.1,0.0668173845081463,0.0013795779428253587,1,48.4332073121618,0.7050708831775442,0.5755381207508028,0.009049919946379667,0.03318261549185371,0.9548484444659198,0.9645527072900637,0.9627350018459381,4.833112090174585,8.094580703332287,7.352161156276369
27,50,10,60,10,0.1,0.0242364892734407,2.732441659290824,0,0.008869901829754353,16.543202565355337,99.43206460798703,274.1347582710482,5.333379988424851,0.9353980746202599,0.9735480147218478,0.9588201752072352,1.0912884252878199,12.011404145367532,4.812614503363848
